,Tick,Train_Loss,Test_Loss
0,0,0.004541457713656555,0.003024084699251215
1,1,0.0036680122419934847,0.002878855740837635
2,2,0.0034538086198655695,0.002794422845313164
3,3,0.0031122270136557774,0.0027606842999925614
4,4,0.002986310189054615,0.0026984056739158963
5,5,0.002802777987230441,0.0025924288512812546
6,6,0.002702006708894824,0.002600143098076222
7,7,0.002622885953356651,0.002543020823082117
8,8,0.0026568905048971548,0.002536566398011675
9,9,0.002681880223232953,0.0025266939130594635
10,10,0.00276085643643706,0.00252711641806037
11,11,0.0025204969757375703,0.0024324214153090737
12,12,0.0027898888842299067,0.002467802828083558
13,13,0.0029197305590770713,0.0024631681331008636
14,14,0.0025758485299074785,0.0023789303801402422
15,15,0.002541795421134809,0.0023220087251944643
16,16,0.0026643164455890656,0.0022852845558605657
17,17,0.0024568163950381607,0.0021732012335691723
18,18,0.0030308299344675295,0.002192238330720894
19,19,0.002661457510086997,0.002026450636918591
20,20,0.0030213847900901376,0.0020500017775683314
21,21,0.0029578838877422713,0.0018835024087018864
22,22,0.0031247774390610814,0.0018168667895079678
23,23,0.003068432797966846,0.001759282284570006
24,24,0.0030067046494062603,0.0016781300844437314
25,25,0.002935100809788738,0.0016549509165927551
26,26,0.002846937032480692,0.0016083726721269696
27,27,0.0029087786980230234,0.001474296967048318
28,28,0.0027547812667386286,0.00143482677189658
29,29,0.002661587060268583,0.001324928857080973
30,30,0.0025670579714893267,0.0012352695486259131
31,31,0.002347252912412601,0.0011405431593907909
32,32,0.0025162623403058655,0.000998825914003214
33,33,0.001849393102062074,0.0010095664561719673
34,34,0.0016389099048750326,0.0009179470186156517
35,35,0.0011811529489598055,0.0007766095312002393
36,36,0.0012959810228076302,0.0007418020014874378
37,37,0.000885552941452198,0.0007255244221076473
38,38,0.0009047159451413257,0.000689682391752559
39,39,0.0008032049625127137,0.0006207335698503734
40,40,0.0008090519909639897,0.0006311554607881055
41,41,0.0007544086192970047,0.0006296321583127133
42,42,0.0007232124141107003,0.0006189971816829706
43,43,0.0007282224806271836,0.0006194897787954722
44,44,0.0006420394324098082,0.0005375706032345603
45,45,0.0006438509959877394,0.0005905862746611214
46,46,0.0006099923610173423,0.0005744954094053337
47,47,0.000605954068723595,0.0005554996001145966
48,48,0.0005874263805781502,0.0005465154368367051
49,49,0.0005926411453736197,0.0004912490039300421
50,50,0.0005647063181045112,0.0005647563407195238
51,51,0.0005504090346304978,0.0004988593309422617
52,52,0.0005028813581608621,0.00043123970525783996
53,53,0.0004686966258095813,0.00042828006192657136
54,54,0.0005309756222346947,0.00047339901170804675
55,55,0.0008689182276580611,0.0005936388163883321
56,56,0.00045527134093338215,0.0005591253838828805
57,57,0.0005182626813746475,0.00038945122716867685
58,58,0.0004724890432566747,0.00047931049972216517
59,59,0.00044840986000095634,0.0004065419010247194
60,60,0.00042816564599961984,0.0003432772757932025
61,61,0.00040835784460503563,0.00034161851151786265
62,62,0.0004204048577096613,0.00035279576980628446
63,63,0.0003493304331599596,0.0003065896017606807
64,64,0.00038718939364095617,0.00029307918231062484
65,65,0.0003596300308742486,0.000269363178493977
66,66,0.0003318324495754579,0.00029716397897260245
67,67,0.00032514600493361765,0.0002656112938294933
68,68,0.00031896184607350063,0.00024499408347010236
69,69,0.00031234953942542746,0.0002910032787792924
70,70,0.00033391046808797054,0.0002391478520793608
71,71,0.00033589098224518074,0.00030126642647265896
72,72,0.0002989408617970352,0.0004107837478281514
73,73,0.0003274314800657375,0.0002732158128695255
74,74,0.0002457269244284059,0.00026495535026279683
75,75,0.00029910814944365675,0.00022457471496739544
76,76,0.00028083716812222424,0.00021843453549652122
77,77,0.00023041007314051297,0.000192453104759355
78,78,0.0002703779686815052,0.0001887785868570774
79,79,0.0002703322596104023,0.0001756588469367241
80,80,0.00023730424160523148,0.00016897709808706446
81,81,0.00021570006523605157,0.00017897493945912427
82,82,0.0002355712536861585,0.00017369907547570742
83,83,0.00022414065837249932,0.00016891647186286388
84,84,0.0002737777023616343,0.00021855631023074
85,85,0.00026152934343821703,0.00020025135879449024
86,86,0.00022030987588811838,0.00019105877700393724
87,87,0.0002315951249998427,0.00019913601258944586
88,88,0.000285250884775158,0.00020084511216046262
89,89,0.00028444666364604886,0.0001924352414136108
90,90,0.0002626110843099097,0.0002762798453817541
91,91,0.0004066255434694561,0.0002307556254698958
92,92,0.0002313759450562534,0.0002765989688735079
93,93,0.0003713294468959258,0.0002341719523483415
94,94,0.00021388971925199288,0.00017207032043423803
95,95,0.00024253303126897663,0.00015699012389789165
96,96,0.00030854265720733367,0.00017564832835954806
97,97,0.00026206954582407,0.00019539594071137304
98,98,0.00022591631836124063,0.00017961084209319208
99,99,0.0001937486945541747,0.00017565630419893457
100,100,0.00028487499475468423,0.00014541474732662836
101,101,0.00018420152736817026,0.00014868729957062774
102,102,0.00022227411565167466,0.00014771903589151235
103,103,0.00021001317333590625,0.0001540558058970268
104,104,0.0001984301174391361,0.0001962421023302195
105,105,0.00020005067107240916,0.0001410656220369173
106,106,0.0002300452220858471,0.0001659167516090189
107,107,0.0002238281999832426,0.00018077426545145514
108,108,0.00019343789357788348,0.00013965475375179125
109,109,0.0002022571502127631,0.00014423501950919576
110,110,0.00022079593778973254,0.00014442847521061396
111,111,0.00017153029923859834,0.000149993048649111
112,112,0.00017430754748090096,0.00013555919331148536
113,113,0.00019201298927401202,0.0001162877389364437
114,114,0.00018173409801514433,0.00013403210476094446
115,115,0.00023548647556614517,0.00011784587019216799
116,116,0.0001969386600345994,0.00016202908213993158
117,117,0.00030105264393088204,0.00018381933840127176
118,118,0.0001778883694593484,0.00015386265535322874
119,119,0.00023615549167286306,0.00013144786974141558
120,120,0.00018224717822359424,0.00013352988585950493
121,121,0.0002506143750018044,0.00013921046253646607
122,122,0.0001638460666511272,0.0001194758565042281
123,123,0.00021150786026204326,0.00012746891881414949
124,124,0.0002080031032352869,0.0001171114190059975
125,125,0.00019555042287730878,0.0001309936847884572
126,126,0.00017461498127781903,0.0001234804115953704
127,127,0.00015469304896120368,0.00011123682580361641
128,128,0.00014717322817719915,0.00011203350729341716
129,129,0.00015436825464578644,0.00011394682681359702
130,130,0.00024617308347309327,0.00010807826315725233
131,131,0.00014841537455955906,0.00012169190144979564
132,132,0.00021792904924783298,0.00013145738714498306
133,133,0.0002093040056515956,0.0001459436992652818
134,134,0.00024408207311102286,0.00017226971381409877
135,135,0.00017114427732169927,0.00012143368107822072
136,136,0.00015052898329329388,0.00010282096259003908
137,137,0.00015549682801316395,0.00010414805780485942
138,138,0.00015418774407522902,0.00010457930130909676
139,139,0.00015895780334489998,0.00010560060596907339
140,140,0.00018777917661093947,0.00011474932364818736
141,141,0.00016142791953344625,0.00011576589321067285
142,142,0.00019031175279765036,0.00011413674108416183
143,143,0.00017005274869801327,0.00010130593394154475
