,Tick,Train_Loss,Test_Loss
0,0,0.13914738195155985,0.1417626165519885
1,1,0.1395595127077245,0.1408130737339578
2,2,0.13940469320140667,0.14306001874004923
3,3,0.14153485000133514,0.1447875416133462
4,4,0.13947873284567647,0.14112765202677346
5,5,0.1394802000540406,0.13959515349167148
6,6,0.13965091954416303,0.14008238729907246
7,7,0.1399408271953241,0.1397164426441115
8,8,0.13952646348903427,0.1399544839694248
9,9,0.14018772520236114,0.1389652071444969
10,10,0.14480657853297332,0.13995070367809234
11,11,0.14179830319845854,0.13890557645297633
12,12,0.13989049774497303,0.13918142565866795
13,13,0.14119890599108453,0.13898920928075062
14,14,0.15124787234548312,0.13899891102701667
15,15,0.1462123738740807,0.1409374328890467
16,16,0.1413159230306967,0.14026320041195164
17,17,0.13907229566752022,0.13930743666199163
18,18,0.13946361239276714,0.13957705173065993
19,19,0.14035044343613867,0.14026381499399015
20,20,0.14781832294677621,0.1456256794735668
21,21,0.14437659284961757,0.1431142920401038
22,22,0.14215847138148635,0.14112417109128905
23,23,0.14302020241965108,0.13869887917506984
24,24,0.13930579908748172,0.139342945281083
25,25,0.13949566745935982,0.13890121937767277
26,26,0.1393103399383488,0.14085745351101325
27,27,0.14187746372685503,0.13849220903423742
28,28,0.13934448628283258,0.13864592165966344
29,29,0.1401989804719811,0.13879595878647594
30,30,0.14001861570486382,0.13898294146468
31,31,0.14027979124837847,0.13913000078220678
32,32,0.13903977844252516,0.13866900791966819
33,33,0.14056599629459096,0.13991840086816773
34,34,0.1395746062495815,0.140756877214928
35,35,0.14127020671296475,0.13975468689833231
36,36,0.14070130640001438,0.1390281882954807
37,37,0.14473224042066887,0.13831971719012998
38,38,0.13993966290310247,0.14014059499027284
39,39,0.13935505876790233,0.13909047854140522
40,40,0.13941373286852196,0.14095115697965388
41,41,0.14103823499893076,0.13842083743917263
42,42,0.13992598030104567,0.1387160838377185
43,43,0.1397186764585438,0.13907463993968033
44,44,0.1405976043263478,0.13847975335954651
45,45,0.13914302792122116,0.1387875470204082
46,46,0.14026140366027604,0.13892191127548373
47,47,0.14023233460846232,0.13862526537926217
48,48,0.13955303626273996,0.13900289218115613
49,49,0.139885281671339,0.13858384911606952
50,50,0.1389821618795395,0.1394190608970518
51,51,0.14046257511893315,0.14011439572020276
52,52,0.14516148060115416,0.13954037815574707
53,53,0.14183140979773962,0.13971809630956106
54,54,0.14306483606793988,0.1396931753895147
55,55,0.14024122303991177,0.13825657612424555
56,56,0.13986368143736427,0.13867274120571169
57,57,0.1449991962802944,0.1387736886982026
58,58,0.13942186556645295,0.13948893316877567
59,59,0.14084004577416093,0.13872201522675956
60,60,0.140198987811359,0.138682286913802
61,61,0.13961809095162064,0.1393524067915552
62,62,0.14079903622171772,0.137850188506328
63,63,0.14021836599307275,0.13842479460607698
64,64,0.14029750783941639,0.13817818983783567
65,65,0.1411543472934125,0.13816559738744566
66,66,0.1395719671872125,0.13856857082223503
67,67,0.1443394297984109,0.13915112881156488
68,68,0.13873938704604533,0.1417180676528109
69,69,0.14043452868710704,0.13906227124900353
70,70,0.14254439055030024,0.13888838548001234
71,71,0.13974034608300054,0.13869742019389703
72,72,0.14043502442872347,0.13815154716735933
73,73,0.1425891869993352,0.1386848153864465
74,74,0.14284866292085222,0.13855409840258157
75,75,0.14287452733338768,0.1395552077186786
76,76,0.139502565807371,0.1393013437831305
77,77,0.1409704231504184,0.1389237674998074
78,78,0.1413595438448351,0.13829254037965605
79,79,0.14003781774150792,0.13847704740559183
80,80,0.14066794403453373,0.13813130521192785
81,81,0.14121805642967794,0.13818051550931076
82,82,0.14160452360537515,0.1378406798694192
83,83,0.14160765840936063,0.13894807892601665
84,84,0.14010259153237983,0.13831989152160118
85,85,0.13869465531697914,0.13913156152740727
86,86,0.14020684806268607,0.13930889818726516
87,87,0.14181010847661032,0.1396404206752777
88,88,0.1402619214200262,0.13869238372256115
89,89,0.14023967910168775,0.1381217012318169
90,90,0.13979620319693836,0.13812280294856405
91,91,0.14045696961345958,0.1384364674246408
92,92,0.14041455490375632,0.13794635696624352
93,93,0.1407364726956211,0.13797834006751455
94,94,0.13988045970005775,0.1380757565905408
95,95,0.14041134603877567,0.13856007340477733
96,96,0.140993403409844,0.1383563352794182
97,97,0.14036165377986964,0.13840034919056465
98,98,0.1404347264054996,0.13808036541066518
99,99,0.13984075144155703,0.13791092685083065
100,100,0.14016881674083312,0.1386340374384469
101,101,0.14362033134076133,0.13890322752115203
102,102,0.13998419313288446,0.1385505870590365
103,103,0.14007258281778934,0.13827315396894285
104,104,0.14103613304558085,0.13807351838767043
105,105,0.13977657125067355,0.13838438507987233
106,106,0.14000574043437616,0.1383763022296797
107,107,0.1406265312611167,0.13811327117245373
108,108,0.14241291315697913,0.13804519830680476
109,109,0.14276205069983183,0.1399463072298019
110,110,0.13947662155130017,0.13837744016957476
111,111,0.14313515865091067,0.1399061871253378
112,112,0.14013775894001348,0.13865009616545546
113,113,0.14061313200352796,0.13798632357663254
114,114,0.14049943036107876,0.1381540682499971
115,115,0.13975376024175046,0.1379958631061926
116,116,0.14303489207331813,0.1383009041712536
117,117,0.14034381152978584,0.13842680771660998
118,118,0.13949755746037212,0.1384847593016741
119,119,0.14096181027924837,0.13913111909618223
120,120,0.14178032016576225,0.13843249378165579
121,121,0.140699467552242,0.13841917480879684
122,122,0.14146840083065318,0.1380536999644303
123,123,0.1407617023631708,0.13821857428647638
124,124,0.1397727961415675,0.13801601371629452
125,125,0.14071873631050338,0.13834143969101634
126,126,0.14090116433243252,0.13729555068946467
127,127,0.1400185985796487,0.13830903293640634
128,128,0.14325088974255235,0.1381444445228189
129,129,0.14085829302446165,0.13816086935803173
130,130,0.14003848807135624,0.1381892488012469
131,131,0.1399444713076549,0.13876612944816186
132,132,0.1431561961992463,0.1374717110056218
133,133,0.1397752886387839,0.13914479848330583
134,134,0.14429235636298335,0.13823699127367842
135,135,0.1399238645585615,0.13837431128916702
136,136,0.14057963730683967,0.138451266821807
137,137,0.13989889176923836,0.1380607900096149
138,138,0.14050181054357272,0.13807987306660752
139,139,0.1402780869558676,0.13777676733528696
140,140,0.1403086854895549,0.1383407562971115
141,141,0.14105752844419053,0.13859149571356735
142,142,0.1404187423524572,0.1380220798215246
143,143,0.14163081859474752,0.13758928867859568
144,144,0.14018201650078618,0.13850921598391805
145,145,0.14254892762027568,0.13883055928276805
146,146,0.13905678711720368,0.1382477394933623
147,147,0.1448235020263871,0.13909258990268397
148,148,0.14023361410667648,0.13947204978970007
149,149,0.1412554212025742,0.1381480652626937
150,150,0.1399198385761745,0.13805561421847926
151,151,0.14063684597833834,0.1381375563096225
152,152,0.13944241693660395,0.13803287952896057
153,153,0.14155560776368895,0.13821101091741547
